Rest_id,Rest_name,Cuisines,CFT,Locality,Total_Orders,Late_Night_Orders,Priority,Zomato_Ratings,Zomato_total_votes
28640,Chennai Royal Kitchen,"South Indian,Biryani",300,Lakshmi Nagar,123,-,P2,-,-
28641,The Wok Box Co,"Thai,Indonesian,Asian,Chinese,Healthy Food",500,Karapakkam,71,-,P1,-,-
28642,Bonfire,"North Indian,Biryani,Arabian",500,Chinnaiyah Street,43,-,P3,-,-
28643,Gangotree,"Desserts,Fast Food,Chaat,Cafe,Sweets,Street Food",300,Vepery,124,-,P3,-,-
28644,Madras Marigold Cafe,"North Indian,Chinese",500,TVS Avenue,1,-,P3,-,-
28649,Dojo Kulfis,"Desserts,Ice Cream",250,Mandagakanni Amman Koil Street,54,-,P3,-,-
28658,Icestasy Hand-crafted Ice Creams,Ice Cream,300,NEAR PLANET INDUSTRIAL ESTATE,19,-,P3,-,-
28660,Fried Chicken Cuisine,"Chinese,Indian",500,VS Road,46,1,P3,-,-
28661,Big Wong XL,"Chinese,Thai,Japanese",1500,Sector 18,1,-,P2,-,-
28662,The Pizza Story,Fast Food,300,Sarita Vihar,18,-,P5,-,-
28663,Handi Now on Wheels,"North Indian,Chinese",350,H Block Sarita Vihar,9,-,P3,-,-
28667,The Oriental Spice,"Chinese,Thai",500,Sector 41,5,2,P3,-,-
